"DESCRIPTION","name"
"유가증권예탁관련 실무용어로서 신주인수권이 배정된 실질주주가 발행회사에 대하여 그 주식을 인수할 것을 직접 신청하는 행위를 말한다. 예탁주권의 실제소유자인 실질주주의 권리행사 방식은 예탁자인 증권회사를 통해 중앙예탁기관인 증권예탁원에서 권리를 행사한 후 예탁자별로 배분하는 간접방식과 실질주주가 발행회사에 직접 권리를 행사하는 직접방식이 있다. 이에 따라 신주인수권의 행사방식도 간접청약과 직접청약 어느 방식이든 가능하다. 간접청약은 예탁주권의 발행회사가 유상증자를 위한 기준일 설정시, 동 기준일 현재의 실질주주에 관한 유상배정명세를 증권예탁원이 작성하여 해당 예탁자에게 통지하고 청약기간내에 예탁자를 통한 실질주주의 청약신청에 의거 증권예탁원이 발행회사에 신주인수권을 행사하며 발행회사의 신주권 교부시 동 주권을 일괄수령하여 당해 예탁자에게 예탁하고 그 내용을 예탁자에게 통지하게 된다. 직접청약은 해당 발행회사의 유상청약시 실질주주가 예탁자를 통하지 않고 발행회사의 청약금 납입은행에 직접 청약을 신청하는 것을 말하며, 증권예탁원은 발행회사로부터 직접청약자 명세를 청약일로부터 3일내에 통보받아 직접청약 내역을 예탁자계좌부 화일에 입력하여 신주수령권 내역에 추가하여 관리한다. 또한 해당 예탁자에게 직접청약자 명세를 통지하고 유상청약주식을 최종 확정한다.","직접청약(直接請約)"
"채권면역전략(債券免疫戰略, bond immunization) 시장이자율의 변동에 상관없이 채권매입 당시 설정한 목표수익률을 큰 차이 없이 실현하는 기법이다. 구체적으로 이 기법은 채권 또는 채권 포트폴리오의 듀레이션(duration)을 투자자의 투자기간(planning horizon)과 일치시킴으로써 투자기간 중 금리변동에 따른 채권가격 변동위험과 표면금리수입 등 현금수입의 재투자위험을 상호 상쇄시켜 채권투자종료시 채권 포트폴리오의 실현수익률을 투자시점의 목표수익률에 일치시키는 방법이다. 즉 채권면역전략은 채권투자종료시 채권 포트폴리오의 실현수익률을 투자기간 중의 금리변동과 상관없이 투자시점의 일정 목표수익률에 일치시키기 위하여 투자기간과 채권의 듀레이션을 일치시키는 채권투자전략이다. -> 듀레이션","채권면역전략"
"아세안+3 채권시장포럼 아시아 역내 국가들의 국경간(cross-border) 채권거래 제도·규제 등의 표준화(standardization) 논의를 위해 설립된 아세안+3(한국, 중국, 일본)개국이 참가하는 채권시장포럼","ABMF(ASEAN+3 Bond Market Forun)"
"아시아 역내에 효율적이고 유동성이 높은 채권시장을 형성하고 아시아 지역의 금융독립성을 제고하는 목적으로 채택된 한,중,일 및 아세안(ASEAN)회원국 간의 협의체","ABMI(Asian Bond Markets Initiative, 아시아 채권시장 이니셔티브)"
"아시아-태평양 중앙예탁기관 회의 ACG는 아시아 태평양 역내 중앙예탁기관 및 청산기관의 상호협력 증진과 정보교환을 목적으로‘97. 11월에 설립된 비공식 국제기구로 21개국 30개 기관이 참여","ACG(Asia-Pacific Central Securities Depository Group)"
"유라시아 지역 중앙예탁결제기관 회의체 동유럽, 러시아 및 중앙아시아 등 유라시아지역 10개 중앙예탁기관으로 구성","AECSD(Association of Eurasian CSDs)"
"국가코드 부여기관 협의회 세계 각국의 코드부여기관(NNA)으로 구성된 민간단체로서 ISIN의 보급촉진 및 코드정보에 관한 국제적 데이터베이스 구축을 목적으로 설립. ANNA에는 현재 약 70여개가 넘는 국가의 코드부여 및 관리기관이 회원으로 가입하여 활동하고 있으며, ISO로부터 ISIN과 CFI 코드의 등록기관(Registration Authority)으로 지정되어 있음","ANNA(Association of National Numbering Agencies)"
"벨기에에 본부를 두고 있는 세계 각국의 코드부여기관으로 구성된 민간단체로서 ISIN(International Securities Identification Number : 국제표준증권코드)의 보급촉진 및 코드정보에 관한 국제적 데이터베이스 구축을 목적으로 1992년에 설립되었다. ANNA에는 현재 약 50여개가 넘는 국가의 코드부여 및 관리기관(주로 각국의 중앙예탁기관)이 회원으로 가입하여 활동하고 있다. 또한 1993년부터 각국의 유가증권코드관리기관을 네트웍으로 연결하고 모든 유가증권의 코드 변경내역, 신규코드 변경내역, 삭제코드 내역을 실시간으로 조회할 수 있는 DB체계를 구축하는 프로젝트인 GIAM(Global ISIN Access Mechanism)을 추진하고 있다.","ANNA(Association of National Numbering Agency)"
"아시아 증권산업·금융시장협회 아시아 채권시장의 성장, 발전 촉진, 세계 금융시장으로의 편입을 촉진하기 위해 설립된 아시아증권산업, 금융시장협회","ASIFMA(Asia Securities Industry & Financial Markets Association)"
"옵션의 행사가격이 기초증권(underlying securities)이나 선물계약의 시가와 동일하거나 근접된 상태를 의미한다. 따라서 행사로 인한 이익 즉, 내재가치(intrinsic value)는 영(0)에 가깝게 된다. 한편 증권매입옵션(call option)의 행사가격이 기초증권의 현재가를 하회하는 경우에는 내재가치가 실현됨으로써 ""in-the-money""라 하고 당해 증권이 행사가격을 하회하는 경우에는 ""out-of-the-money""라 한다. 증권매도옵션(put option)의 경우에는 반대개념이 작용된다.","ATM(At the Money)"
